slug,cond,src_chars,out_chars,change_pct,reached_-20,atoms_total,atoms_lost,atoms_lost_list,claims_total,claims_auto_pass,claims_to_judge,headings_src_out,bullets_src_out
ai-app-before-release,0,1665,1589,-4.6,False,9,1,3 つ×1,4,3,1,3/3,7/7
ai-app-before-release,A,1665,1548,-7.0,False,9,3,5 つ×1;3 つ×2,4,2,2,3/3,7/7
ai-app-before-release,B,1665,1625,-2.4,False,9,0,,4,4,0,3/3,7/7
ai-app-before-release,C,1665,1517,-8.9,False,9,0,,4,2,2,3/3,7/7
ai-code-stopped-working,0,1423,1316,-7.5,False,14,4,3 つ×1;1 つ×1;2 つ×1;10 件×1,2,1,1,3/3,9/9
ai-code-stopped-working,A,1423,1307,-8.2,False,14,4,3 つ×1;1 つ×1;2 つ×1;10 件×1,2,1,1,3/3,9/9
ai-code-stopped-working,B,1423,1114,-21.7,True,14,3,3 つ×1;1 つ×1;2 つ×1,2,1,1,3/3,9/9
ai-code-stopped-working,C,1423,1292,-9.2,False,14,2,3 つ×1;2 つ×1,2,1,1,3/3,9/9
automation-what-stays-human,0,1205,1138,-5.6,False,11,1,3 か月×1,1,1,0,4/4,12/12
automation-what-stays-human,A,1205,1073,-11.0,False,11,2,3 つ×1;3 か月×1,1,1,0,4/4,12/12
automation-what-stays-human,B,1205,1120,-7.1,False,11,0,,1,1,0,4/4,12/12
automation-what-stays-human,C,1205,969,-19.6,False,11,2,1 枚×1;3 か月×1,1,1,0,4/4,12/12
before-asking-for-estimate,0,1678,1552,-7.5,False,14,2,1 通×2,2,0,2,5/5,9/9
before-asking-for-estimate,A,1678,1580,-5.8,False,14,1,1 通×1,2,0,2,5/5,9/9
before-asking-for-estimate,B,1678,1506,-10.3,False,14,2,10 段階×1;1 通×1,2,1,1,5/5,9/9
before-asking-for-estimate,C,1678,1616,-3.7,False,14,1,1 通×1,2,2,0,5/5,9/9
csv-to-sheet-automation,0,1403,1285,-8.4,False,8,0,,3,2,1,3/3,9/9
csv-to-sheet-automation,A,1403,1251,-10.8,False,8,0,,3,1,2,3/3,9/9
