slug,cond,claim,出力側でいちばん近い文（機械が選んだ候補・裁定は人）,類似度,当方の見立て（類似度 ≥0.85＝言い換えて残った／それ未満＝要確認。裁定欄は人が書く）,裁定（言い換えて残った／落ちた／反転）,根拠
ai-app-before-release,A,** ただし、個人情報・決済・ログイン（認証）を扱うもの、不特定多数に公開するものは、これに加えて確認が要ります。,** ただし、個人情報・決済・認証を扱うもの、不特定多数に公開するものは追加の確認が要ります。,0.87,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
ai-app-before-release,A,返ってくるのは**確認候補の一覧**であって、済みの証明ではありません。,返ってくるのは**確認候補の一覧**で、済みの証明ではありません。,0.96,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
ai-app-before-release,C,** ただし、個人情報・決済・ログイン（認証）を扱うもの、不特定多数に公開するものは、これに加えて確認が要ります。,** ただし、個人情報・決済・ログイン（認証）を扱うもの、不特定多数に公開するものは、追加の確認が要ります。,0.94,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
ai-app-before-release,C,返ってくるのは**確認候補の一覧**であって、済みの証明ではありません。,返ってくるのは**確認候補の一覧**で、済みの証明ではありません。,0.96,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
ai-code-stopped-working,A,** [当方の診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テストが 5 件すべて通り、型の検査もエラー 0 のまま、計算は仕様どおりではありませんでした。,** [当方の診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テスト 5 件と型の検査がすべて通ったまま、計算は仕様どおりではありませんでした。,0.88,言い換えて残った（見立て）,言い換えて残った,5件のテスト通過・型検査通過・仕様不一致という対比を保持
ai-code-stopped-working,B,** [当方の診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テストが 5 件すべて通り、型の検査もエラー 0 のまま、計算は仕様どおりではありませんでした。,** [診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テスト 5 件すべて通過、型検査エラー 0 のまま、計算は仕様どおりではありませんでした。,0.96,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
ai-code-stopped-working,C,** [当方の診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テストが 5 件すべて通り、型の検査もエラー 0 のまま、計算は仕様どおりではありませんでした。,** [当方の診断レポートの見本](/works/repair/#sample)（自作のデモアプリ）では、テスト 5 件がすべて通り、型検査もエラー 0 のまま、計算は仕様どおりではありませんでした。,0.99,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
before-asking-for-estimate,A,"ただし、現物を動かして原因や仕様を確かめないと範囲が決められない場合は、先に診断（有料・[診断 33,000 円で、何が分かって、何が分からないか](/works/guide/diagnosis-what-you-get/)）をご案内します。","現物を動かさないと範囲が決められない場合は、先に診断（有料・[診断 33,000 円で、何が分かって、何が分からないか](/works/guide/diagnosis-what-you-get/)）をご案内します。",0.93,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
before-asking-for-estimate,A,ここまでは費用がかかりません（問い合わせと一次確認＝無料。,"ここまでは費用がかかりません（現物を使った原因や仕様の調査は診断 33,000 円（税込・1 症状・1 営業日相当まで））。",0.35,要確認,言い換えて残った,「ここまでは費用がかからない」という無料範囲は保持。無料対象の内訳は省略されたが意味は反転していない
before-asking-for-estimate,B,"ただし、現物を動かして原因や仕様を確かめないと範囲が決められない場合は、先に診断（有料・[診断 33,000 円で、何が分かって、何が分からないか](/works/guide/diagnosis-what-you-get/)）をご案内します。","ただし、現物を動かして原因や仕様を確かめないと範囲が決められない場合は、先に有料の診断（[診断 33,000 円で、何が分かって、何が分からないか](/works/guide/diagnosis-what-you-get/)）をご案内します。",0.98,言い換えて残った（見立て）,言い換えて残った,主要な条件・否定・例外・結論が同義で保持されている
csv-to-sheet-automation,A,書き出せない手順は、まだ自動化できる状態ではありません。,材料はいまの手順そのもので、書き出せない手順はまだ自動化できません。,0.65,要確認,言い換えて残った,「書き出せない手順はまだ自動化できない」という条件をそのまま保持
csv-to-sheet-automation,A,合意してから作り、納品では合否条件を通した検証の結果と、確かめていない範囲も一緒に渡します。,合意してから作り、納品では検証の結果と確かめていない範囲も一緒に渡します。,0.89,言い換えて残った（見立て）,落ちた,「合否条件を通した」という検証の受入条件が短縮後に消えており、単なる「検証の結果」に弱まっている
